persian text nalysis,polarity
بانک مرکزی افغانستان وعده داد که قیمت دالر در مقابل پول افغانی پایین خواهد آمد.,1
بحران اقتصادی افغانستان؛ برنامه جهانی غذا بودجه کافی ندارد,-1
"امیرخان متقی، سرپرست وزارت خارجه با طارق علی بخیت، نماینده ویژه سازمان همکاری اسلامی برای افغانستان و محمد سعید العیاش رییس دفتر این سازمان در کابل دیدار کرد. وزارت خارجه می‌گوید که آنان در باره کمک‌رسانی به نیازمندان گفت‌وگو کردند. ",1
وزارت خارجه در یک رشته تویت نگاشته است که آقای متقی در این نشست از کشورهای عضو سازمان همکاری اسلامی خواسته است که در پیوند به آزاد شدن پول افغانستان تلاش کنند. آقای بخیت نیز گفته است که در نشست بعدی سازمان همکاری اسلامی در باره وضعیت افغانستان گزارش خواهد داد.,1
"شماری از قالین بافان و بازرگانان قالین در کشور می‌گویند که پس از سقوط حکومت پیشین، کاروبار آنان کم‌رنگ شده و فروش قالین‌های وطنی در بیرون از کشور کاهش یافته است.",-1
"بانک مرکزی می‌گوید که در ادامه کمک‌های بشری جامعه جهانی به افغانستان، امروز ۳۲ میلیون دالر پول نقد به کابل رسید و به بانک بین المللی افغانستان تسلیم داده شد. بانک مرکزی گفته است که این هفدمین بسته کمکی پول نقد است که به افغانستان می‌رسد.",1
"دبرا لاینز، رئیس یوناما می‌گوید افغانستان به نقطه اوج فروپاشی اقتصادی نزدیک می‌شود. به گفته او این کشور در هفته‌های آینده شاهد تعطیلی کسب‌وکارهای بیشتر، بیکار شدن افراد و سقوط در فقر خواهد بود. او هشدار داد که اقتصاد افغانستان به نقطه برگشت‌ناپذیری سقوط خواهد کرد.",-1
"براساس شاخص جهانی تروریسم «جی‌تی‌آی» (GTI) که موسسه اقتصاد و صلح روز یکشنبه، منتشر کرد، افغانستان در صدر فهرست کشورهای آسیب‌دیده از تروریسم قرار دارد و از طالبان، داعش و الشباب هم به‌عنوان مرگ‌بارترین گروه‌های تروریستی در سال ۲۰۲۱ نام برده شده است. این سه گروه، بیشترین و ۱/۳",1
"اتحادیه اروپا به مناسبت از روز جهانی زن گفته که نبود زنان در بازار کار، سبب کاهش رشد اقتصاد افغانستان می‌شود. اتحادیه اروپا گفته هرگاه زنان در افغانستان نتوانند در بازار کار اشتراک کنند، شمار کارگران و میزان رشد اقتصادی کاهش پیدا می‌کند.",1
نماینده سازمان ملل: جهان برای جلوگیری از سقوط غیرقابل بازگشت اقتصاد افغانستان اقدام کند,
"اتحادیه اروپا گفته هرگاه زنان در افغانستان نتوانند در بازار کار اشتراک کنند، شمار کارگران و میزان رشد اقتصادی کاهش پیدا می‌کند.",
مسوولان کمیته سویدن برای افغانستان در دیدار با مولوی عبدالحکیم حامد رییس اقتصاد میدان وردک گفته‌اند که کار چندین پروژه عام‌المنفعه به هزینه ۱۱ میلیون افغانی در آینده نزدیک در ولسوالی جلریز آن ولایت آغاز می‌شود.,1
امارت اسلامی تلاش دارد افغانستان به مرکز اقتصاد و اتصال منطقه تبدیل شود,-1
